,date,county,state_name,fips,cases,deaths,county_code,state,locality,locality_original,SD,LD,NESC,PC,GS,CPV
665,2020-03-26,Hudson,New Jersey,34017.0,441,4,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
666,2020-03-27,Hudson,New Jersey,34017.0,594,4,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
667,2020-03-05,Clark,Nevada,32003.0,1,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
668,2020-03-06,Clark,Nevada,32003.0,1,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
669,2020-03-07,Clark,Nevada,32003.0,1,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
670,2020-03-08,Clark,Nevada,32003.0,2,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
671,2020-03-09,Clark,Nevada,32003.0,2,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
672,2020-03-10,Clark,Nevada,32003.0,2,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
673,2020-03-11,Clark,Nevada,32003.0,5,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
674,2020-03-12,Clark,Nevada,32003.0,8,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
675,2020-03-13,Clark,Nevada,32003.0,16,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
676,2020-03-14,Clark,Nevada,32003.0,16,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,0
677,2020-03-15,Clark,Nevada,32003.0,16,0,3,NV,clark county,las_vegas_county,0,0,0,0,0,2
678,2020-03-16,Clark,Nevada,32003.0,35,1,3,NV,clark county,las_vegas_county,0,0,0,1,3,2
679,2020-03-17,Clark,Nevada,32003.0,42,1,3,NV,clark county,las_vegas_county,0,0,0,1,3,2
680,2020-03-18,Clark,Nevada,32003.0,69,1,3,NV,clark county,las_vegas_county,0,0,0,1,3,2
681,2020-03-19,Clark,Nevada,32003.0,74,1,3,NV,clark county,las_vegas_county,0,0,0,1,3,2
682,2020-03-20,Clark,Nevada,32003.0,126,2,3,NV,clark county,las_vegas_county,0,0,0,1,3,2
683,2020-03-21,Clark,Nevada,32003.0,126,2,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
684,2020-03-22,Clark,Nevada,32003.0,126,2,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
685,2020-03-23,Clark,Nevada,32003.0,151,4,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
686,2020-03-24,Clark,Nevada,32003.0,249,6,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
687,2020-03-25,Clark,Nevada,32003.0,249,6,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
688,2020-03-26,Clark,Nevada,32003.0,350,10,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
689,2020-03-27,Clark,Nevada,32003.0,443,10,3,NV,clark county,las_vegas_county,0,0,1,1,3,2
690,2020-03-05,Nassau,New York,36059.0,1,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
691,2020-03-06,Nassau,New York,36059.0,4,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
692,2020-03-07,Nassau,New York,36059.0,4,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
693,2020-03-08,Nassau,New York,36059.0,5,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
